Component,id,tag,x,y,Width,Height,Description,rotation
expansion_bellows,EB-001,EB-001,150,340,100,40,EXPANSION BELLOWS,0
strainer_y,Y-001,Y-001,250,320,80,100,Y-STRAINER,0
valve_gate,V-001,V-001,350,330,60,80,GATE VALVE,0
filter_suction,F-001,F-001,450,280,100,150,SUCTION FILTER,0
valve_gate,V-002,V-002,600,340,60,80,GATE VALVE,0
pump_kdp330,P-001,KDP-330,700,320,120,120,CENTRIFUGAL PUMP,0
catch_pot,CT-001,CT-001,850,380,80,100,CATCH POT,0
pressure_regulator,PR-001,PR-001,520,450,100,100,PRESSURE REGULATOR,0
psv,PSV-001,PSV-001,500,200,60,80,PRESSURE SAFETY VALVE,0
valve_drain,V-003,V-003,450,480,40,40,DRAIN VALVE,0
solenoid_valve,SV-001,SV-001,500,550,80,80,SOLENOID VALVE,0
control_panel_detailed,CP-001,CP-001,1000,150,200,250,CONTROL PANEL,0
motor,M-001,M-001,700,200,100,100,MOTOR,0
flame_arrestor,FA-001,FA-001,950,400,60,40,FLAME ARRESTOR,0
instrument,PI-001,PI-001,380,250,44,44,PRESSURE INDICATOR,0
instrument,PI-002,PI-002,650,370,44,44,PRESSURE INDICATOR,0
instrument,PT-001,PT-001,420,380,44,44,PRESSURE TRANSMITTER,0
instrument,PT-002,PT-002,650,420,44,44,PRESSURE TRANSMITTER,0
instrument,FT-001,FT-001,750,290,44,44,FLOW TRANSMITTER,0
instrument,TT-001,TT-001,600,290,44,44,TEMPERATURE TRANSMITTER,0
instrument,LT-001,LT-001,890,420,44,44,LEVEL TRANSMITTER,0
instrument,LAH-001,LAH-001,890,360,44,44,LEVEL ALARM HIGH,0
instrument,PAH-001,PAH-001,520,250,44,44,PRESSURE ALARM HIGH,0
instrument,FIC-001,FIC-001,750,340,44,44,FLOW INDICATOR CONTROLLER,0
vessel_vertical,TK-001,TK-001,300,500,100,160,STORAGE TANK,0
heat_exchanger,HX-001,HX-001,500,100,150,80,HEAT EXCHANGER,0
valve_globe,V-004,V-004,250,430,60,80,GLOBE VALVE,0
control_valve,FCV-001,FCV-001,800,240,80,100,FLOW CONTROL VALVE,0
vessel_horizontal,D-001,D-001,1100,380,140,80,SEPARATOR DRUM,0
